Datum,Částka,Zpráva,Kategorie,Merchant,Month,Year
2025-06-16,-399.0,"Částka: 399 CZK 14.06.2025 Místo: 14437777 NERUDA PRODUC Prague, Částka: 399 CZK 14.06.2025, Místo: 14437777 NERUDA PRODUC, Prague","TV, internet, telefon",14437777 Neruda Produc Prague,2025-06,2025
2022-01-12,-2268.0,"Částka: 2268 CZK 10.01.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 2268 CZK 10.01.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-01,2022
2022-01-28,-1518.0,"Částka: 1518 CZK 27.01.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1518 CZK 27.01.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-01,2022
2022-02-02,-1368.0,"Částka: 1368 CZK 01.02.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1368 CZK 01.02.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-02,2022
2022-02-09,-5401.0,"Částka: 5401 CZK 08.02.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 5401 CZK 08.02.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-02,2022
2022-02-23,-2199.0,"Částka: 2199 CZK 21.02.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 2199 CZK 21.02.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-02,2022
2022-03-02,-1868.0,"Částka: 1868 CZK 01.03.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1868 CZK 01.03.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-03,2022
2022-04-07,-5435.0,"Částka: 5435 CZK 05.04.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 5435 CZK 05.04.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-04,2022
2022-04-14,-4492.0,"Částka: 4492 CZK 13.04.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 4492 CZK 13.04.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-04,2022
2022-05-04,-6202.0,"Částka: 6202 CZK 02.05.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 6202 CZK 02.05.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-05,2022
2022-05-12,-1907.0,"Částka: 1907 CZK 11.05.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1907 CZK 11.05.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-05,2022
2022-06-15,-1377.0,"Částka: 1377 CZK 14.06.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1377 CZK 14.06.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-06,2022
2022-06-23,-11671.0,"Částka: 11671 CZK 21.06.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 11671 CZK 21.06.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-06,2022
2022-07-14,-7200.0,"Částka: 7200 CZK 12.07.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 7200 CZK 12.07.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-07,2022
2022-07-25,-1900.0,"Částka: 1900 CZK 22.07.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1900 CZK 22.07.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-07,2022
2022-07-29,-1067.0,"Částka: 1067 CZK 28.07.2022 Místo: 1863217 BAZAR FAETON C. BUDEJOVICE  , Částka: 1067 CZK 28.07.2022, Místo: 1863217 BAZAR FAETON, C. BUDEJOVICE,",Odchozí nezatříděná,1863217 Bazar Faeton C. Budejov,2022-07,2022
